ID,姓名,性別,出生年,出生地,照片檔名
297,謝景瑜,男性,1969,福建省金門縣,
298,鍾尚志,男性,1974,高雄市,鍾尚志.jpg
299,顏伯義,男性,1936,,
300,顏炳洳,男性,1965,福建省金門縣,
301,蘇碧浯,女性,1956,福建省金門縣,蘇碧浯.jpg
302,蘇龍科,男性,1960,福建省金門縣,
303,洪嘉莉,女性,1986,福建省金門縣,
304,許惠玲,女性,1973,福建省金門縣,
305,莊泓杰,男性,1983,福建省金門縣,
306,張含麗,女性,1948,福建省金門縣,張含麗.jpg
307,辛素雲,女性,1968,福建省金門縣,
308,陳國琍,男性,1963,福建省金門縣,陳國琍.jpg
309,蔣光華,男性,1980,福建省金門縣,
310,黃漢強,男性,1955,福建省金門縣,
311,張振福,男性,1976,福建省金門縣,
312,許玉治,女性,1963,福建省金門縣,
313,陳應超,男性,1966,福建省金門縣,
314,黃思金,男性,1957,福建省金門縣,
315,蔡建立,男性,1973,福建省金門縣,蔡建立.jpg
316,陳水德,男性,1956,福建省金門縣,
317,楊天造,男性,1969,福建省金門縣,
318,周根在,男性,1978,福建省金門縣,周根在.jpg
319,李琳瑯,男性,1968,福建省金門縣,李琳瑯.jpg
320,林安棍,男性,1972,福建省金門縣,
321,方水萬,男性,1945,福建省金門縣,方水萬.jpg
322,蔡金照,男性,1958,福建省金門縣,
323,王振權,男性,1941,,
324,林登惠,男性,1933,,
325,楊淑媛,女性,1958,,
326,董培志,男性,,,
327,黃惠英,女性,,,
328,薛成吉,男性,1958,,
329,楊忠益,男性,,,
330,李錫吉,男性,,,
331,陳再權,男性,,,
332,黃榮國,男性,1957,,
333,陳覺世,男性,1959,,
334,陳錦秀,女性,1961,,
335,李玉葉,女性,1953,,
336,許伯玉,男性,1978,,
337,許淑慧,女性,1952,,
338,翁根龍,男性,1964,,翁根龍.jpg
339,王香蘭,女性,1953,,
340,黃仁德,男性,1966,,
341,陳忠飛,男性,1956,,
342,呂世榮,男性,1957,,
343,楊玉樹,男性,1970,,
344,謝鴻儒,男性,1941,,
345,關志武,男性,1969,,
346,呂瑞泰,男性,1962,,
347,李開陣,男性,1958,,李開陣.jpg
348,林金月,女性,1975,,
349,莊振興,男性,1954,,
350,陳菁芬,女性,1975,,
351,林益宏,男性,1960,,
352,張志福,男性,1963,,
353,許績才,男性,1972,,
354,許建全,男性,1962,,
355,李國泰,男性,1965,,
356,蔡惠美,女性,1969,,
357,許金冠,男性,1967,,
358,林信和,男性,1964,,
359,許鐵民,男性,1962,,
360,陳延昇,男性,1985,,
361,蔡其明,男性,1961,,
362,黃羅秀娥,女性,1960,,
363,蔡美月,女性,1972,,
364,蔡彩紅,女性,1971,,
365,蔡怡萱,女性,1981,,
366,陳國泰,男性,1964,,
367,陳聰泉,男性,1956,,
368,曾紀雄,男性,1964,,
369,何有志,男性,1958,,
370,洪大偉,男性,1953,,
371,蔡金爵,男性,1963,,
